	B cell	CD14+ monocyte	CD16+ monocyte	CD4+ T cell	Cytotoxic T cell	Megakaryocyte	Natural killer cell
eif3l	277412.58214521414	-572836.6149902345	194533.54223632812	-1273707.3276405337	538665.8338356019	-465.13421416282665	231474.95434570315
anxa1	-65416.458862304695	2600738.315036774	-364523.033252716	569681.9404010774	-319486.5262031556	-1262.4572257995605	252158.9861049652
eif4b	546901.7843885423	-490560.7802610398	-233016.5604000092	1534137.0684194567	-395556.67343282705	2543.4558618068695	35278.41625213623
vcp	41849.97233295441	-6347.212321400642	3348.896496295929	-477098.57969284063	657855.2318992616	-655.5604476928712	-43521.166792869575
csf1r	-1144.191038131714	-39674.04448485375	230268.11911582947	11.496579051017761	-186.128631234169	-18.93948268890381	-0.2264688611030579
anxa5	-52721.53499794007	30069.808495998386	421822.652179718	23797.2388112545	53108.791162490845	-4749.212679862976	-15112.724948406221
tgfbi	-8916.73969936371	339254.82623481756	2453.0024388134484	-1596.0973284244537	76.7246230840683	-64.0819036960602	-81.25241827964783
sept2	-11501.862852096558	-264204.9195938111	90257.70844459535	299785.6307029724	-228768.02269458774	129.39580118656158	-5644.506287574769
srsf3	-994316.1090641023	-605093.6434669496	693221.5377807617	-118102.68453884125	500922.9234580994	-1890.126151323319	-68473.46984934808
cd8a	-12715.476387977602	-183.1638793945313	357.352466583252	-6825.058982372284	1684014.0354156494	-125.49144363403323	-345411.9299926758
hnrnpdl	-1388454.1435832977	452478.08789253235	-78844.60036849976	2899922.6699218755	-1021330.5616302491	-2591.041275024415	-77674.5985825062
calm2	-903841.1161117554	1656926.6240768435	58413.795436382294	181744.83217883113	209084.4906153679	-6749.246563911438	-245127.82458591464
hnrnpa2b1	78813.4352388382	-1420731.791038513	307006.28428459173	-332545.38986444473	-1063862.5236816409	1083.9881044030192	1547047.0611419678
capza1	-77505.8297109604	-390228.02352905273	-43565.31245756149	-114785.61881303787	1014982.7958068848	8065.846962690355	-145586.3698530197
kmt2e	921522.4487152101	-315509.53639984137	125805.76947784424	-776126.1567382812	322428.80022048956	-1392.4546251297002	-24979.63407814503
fcer1a	-342.8585414886475	-72198.57627582552	80394.87478256226	-6.367120862007142	-1.621701866388321	1.1387709528207781	0.06581101659685375
ldha	-307918.87225723267	87013.56623840333	60654.71484661102	113007.79446411134	29508.478465795517	-596.1541185379028	52689.62992429734
myd88	-5643.699867427348	-34798.36744737625	128453.56589984894	-3193.237653076649	-2245.5424764454365	-442.012481212616	9689.807851791384
rnf213	-492083.2623348236	325981.9387245179	-131105.21089172366	-26249.45333516598	347591.85016155243	263.76244306564337	288313.49077034
cd8b	-6950.862421512605	-264.52234983444214	2781.0042114257812	-1045783.8943939209	3096184.495628357	14.195113331079487	-111852.5083808899
fam65b	1793554.798213959	-57872.68020510674	-146456.37288284302	-1002246.2516479493	679465.9882450105	-781.8535165786745	-44009.225380182266
herpud1	301279.01913833624	144551.6131472588	-27831.610510826118	-40576.16019058228	1467.7050794065	-160.85946488380438	-35671.08600044251
msn	-340003.82534980774	-198972.71009254456	185089.57769393918	-581407.5501365663	849840.8166046144	-14513.127010345463	550275.1788902284
slc38a1	96480.17930316927	-37299.80379104614	-2362.764243125916	295591.12630367273	-237211.1514430046	1963.976354122162	71917.67985582353
hla-dmb	498913.980588913	119487.50423049928	-45656.17329597473	-5923.189046382904	17354.924912452698	-2.3002364337444305	-3268.8961458206177
cd4	-10856.437988281252	-154078.29532146454	221375.05093574527	23896.767532825474	5151.186507701874	-772.9702863693238	-55.321726799011245
gzmh	-9793.826820373537	1219.209683895111	4508.654497146607	-55728.960838317886	2234093.59060669	-922.8593130111694	812431.7191505432
itgal	3762.286567211151	-137948.34178066257	155463.7382183075	-108260.19384002686	476167.66516685486	-32.33465313911439	-157183.91609001163
cnn2	-176829.7021369934	-113745.84957885742	-5277.3866901397705	336942.0423755646	424438.63841915136	-777.4416255950928	-34698.34246635438
cnbp	-647064.1368312836	825973.8439178467	-131023.08779716495	479871.7514019013	361804.9163665772	-2060.425924301148	-201370.2637796402
aplp2	47615.75796246529	913589.673828125	-80277.6311645508	-67832.9622116089	-50814.31411266327	-2499.961364746094	39997.53157997132
adgre5	-20705.555593967438	6969.222941219807	231922.9227161408	46867.53868293763	-257360.45015335086	-651.7466011047364	76084.62408638002
irf8	1036190.5343055726	-234267.90136718753	31506.919618606575	-4008.7956733703613	-4197.5964868068695	70.53152346611023	16285.377639770508
utrn	-121724.12795162201	-112870.56637573242	89561.4996433258	-126595.81372261046	424228.06878280645	-224.10788750648499	72759.77483367921
tyrobp	-57607.68633842469	12668615.66748047	1028881.4066600802	-42557.55175781251	-935070.1426391602	-20819.66436386108	2787448.9107131963
hif1a	2597.4438890218735	63190.26697397232	-10481.487363338472	154394.98305892944	-109909.68799591066	-19.922366023063663	2114.742738962173
hla-dma	1002531.3211746216	173498.60290765762	-89431.78965759279	-9038.301221370699	-5201.364784240723	16.454132720828063	-5416.979698181152
tubb	-69713.6372408867	-132496.62426328662	61351.92868328096	-176293.61188411716	407153.8645820618	-3406.7592344284067	22817.940055847168
arl6ip5	-117972.26279258728	-97463.68743705751	-149698.55267810824	-302737.99975204474	666084.7516479493	75958.47375869751	-178281.23707294467
eif4a2	-655510.9375305176	95332.53133106232	150762.75785827637	-1287945.8893623354	-423939.9047813416	-139.1925236284733	408745.85406303406
ppt1	4085.6446299552917	43756.47581541539	146229.83791923526	-118340.26908493043	71251.89522171022	-229.25709199905396	-15249.574869632723
hck	-31698.319644927982	110957.01289355755	401413.72802352905	-192.77247142791748	25.428134679794315	-404.54201126098644	-27.79556465148926
cecr1	-14618.18179512024	420956.1463479995	-65691.08541870116	2036.1477686911824	9287.092308640482	-283.92452573776245	-11383.621805906298
jaml	-37414.31333541871	1124844.2691421509	-64219.49582576753	167072.2840089798	9644.258825540544	-143.15618991851804	-615.4375448226929
sash3	134823.6497497559	-32443.165220260624	-31210.921806335456	-121931.36402130127	63234.03379154206	-165.36119842529294	120981.96632862091
hnrnpk	-588539.5854530334	-419724.1987495423	190318.35762405396	64617.762756586075	-70669.44529402256	13552.562623977663	200289.1797847748
ccnd3	-71543.8481655121	39400.231709003456	-39504.568745613105	-119271.57737803459	69448.73679757118	23770.800209999088	81697.75793313982
pcsk7	317925.65941715246	-195235.24114036563	-37723.70794582368	171092.87690734866	-246145.8908920288	-8.81236106157303	358188.23893165594
foxp1	36556.13514518738	-35513.52772808075	-13063.068724393848	1081090.131896973	-231396.0971031189	-507.7760167121887	-30243.243605613712
ncf2	-8626.553206682207	203678.895816803	137482.32591247562	-422.29730844497686	-171.6706466674805	-932.1691513061523	46.32273197174072
rpn2	-3171.13799482584	-81986.15705966951	-9438.781347870829	-105626.51554107667	25414.039188981056	-626.8403482437134	194171.63636398315
eif4g2	-43454.686901807785	-218080.62614345553	169853.86762619021	376127.3416976929	228536.34164333346	13139.777149200441	-323704.6172904969
serinc1	265076.13107299805	-68631.04289245605	-25194.890035629272	-262204.1271972657	352398.84729003906	-725.015834569931	-56554.39939689637
